MARGINALPDBCPT;
2021;04;21;1;81.01;81.01;
2021;04;21;2;79.01;79.01;
2021;04;21;3;78.07;78.07;
2021;04;21;4;78.76;78.76;
2021;04;21;5;78.07;78.07;
2021;04;21;6;73;73;
2021;04;21;7;81.01;81.01;
2021;04;21;8;87.61;87.61;
2021;04;21;9;90.44;92.62;
2021;04;21;10;90;90;
2021;04;21;11;84.61;84.61;
2021;04;21;12;82.49;82.49;
2021;04;21;13;78.9;78.9;
2021;04;21;14;75;75;
2021;04;21;15;71.68;71.68;
2021;04;21;16;67.3;67.3;
2021;04;21;17;68.34;68.34;
2021;04;21;18;69.97;69.97;
2021;04;21;19;80;80;
2021;04;21;20;85.06;85.06;
2021;04;21;21;86.99;86.99;
2021;04;21;22;86.35;86.35;
2021;04;21;23;81.56;81.56;
2021;04;21;24;72.9;72.9;
*
