MARGINALPDBCPT;
2021;05;14;1;75.38;75.38;
2021;05;14;2;69;69;
2021;05;14;3;65.65;65.65;
2021;05;14;4;62.2;62.2;
2021;05;14;5;62.2;62.2;
2021;05;14;6;68;68;
2021;05;14;7;73.78;73.78;
2021;05;14;8;80;80;
2021;05;14;9;82.14;82.14;
2021;05;14;10;78.96;78.96;
2021;05;14;11;70;70;
2021;05;14;12;67.21;67.21;
2021;05;14;13;67.21;67.21;
2021;05;14;14;63;63;
2021;05;14;15;60.7;60.7;
2021;05;14;16;60;60;
2021;05;14;17;60.05;60.05;
2021;05;14;18;65;65;
2021;05;14;19;71.74;71.74;
2021;05;14;20;79.07;79.07;
2021;05;14;21;84.71;84.71;
2021;05;14;22;87.02;87.02;
2021;05;14;23;85;85;
2021;05;14;24;78.69;78.69;
*
